"id","content","title","start","end","group","editable","style"
"item1","Canceled: SPACE Walk & Talk - EU Session - Non J&J","Canceled: SPACE Walk & Talk - EU Session - Non J&J","2021-09-08 15:00:00  ","2021-09-08 16:00:00  ",1,TRUE,NA
"item2","SPACE Walk & Talk - EU Session - Non J&J","SPACE Walk & Talk - EU Session - Non J&J","2021-10-13 15:00:00  ","2021-10-13 16:00:00  ",1,TRUE,NA
"item3","Canceled: SPACE Walk & Talk - EU Session - Non J&J","Canceled: SPACE Walk & Talk - EU Session - Non J&J","2021-10-20 15:00:00  ","2021-10-20 16:00:00  ",1,TRUE,NA
"item4","SPACE Walk & Talk - EU Session - Non J&J","SPACE Walk & Talk - EU Session - Non J&J","2021-11-17 03:00:00  ","2021-11-17 04:00:00  ",1,TRUE,NA
"item5","SPACE Walk & Talk - EU Session - Non J&J","SPACE Walk & Talk - EU Session - Non J&J","2021-12-15 03:00:00  ","2021-12-15 04:00:00  ",1,TRUE,NA
"item6","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-10-05 03:00:00  ","2021-10-05 04:00:00  ",1,TRUE,NA
"item7","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-10-12 03:00:00  ","2021-10-12 04:00:00  ",1,TRUE,NA
"item8","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-10-19 03:00:00  ","2021-10-19 04:00:00  ",1,TRUE,NA
"item9","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-10-26 03:00:00  ","2021-10-26 04:00:00  ",1,TRUE,NA
"item10","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-11-02 03:00:00  ","2021-11-02 04:00:00  ",1,TRUE,NA
"item11","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-11-09 03:00:00  ","2021-11-09 04:00:00  ",1,TRUE,NA
"item12","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-11-16 03:00:00  ","2021-11-16 04:00:00  ",1,TRUE,NA
"item13","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-11-23 03:00:00  ","2021-11-23 04:00:00  ",1,TRUE,NA
"item14","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-11-30 03:00:00  ","2021-11-30 04:00:00  ",1,TRUE,NA
"item15","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-12-07 03:00:00  ","2021-12-07 04:00:00  ",1,TRUE,NA
"item16","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-12-14 03:00:00  ","2021-12-14 04:00:00  ",1,TRUE,NA
"item17","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-12-21 03:00:00  ","2021-12-21 04:00:00  ",1,TRUE,NA
"item18","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2021-12-28 03:00:00  ","2021-12-28 04:00:00  ",1,TRUE,NA
"item19","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2022-01-04 03:00:00  ","2022-01-04 04:00:00  ",1,TRUE,NA
"item20","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2022-01-11 03:00:00  ","2022-01-11 04:00:00  ",1,TRUE,NA
"item21","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2022-01-18 03:00:00  ","2022-01-18 04:00:00  ",1,TRUE,NA
"item22","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2022-01-25 03:00:00  ","2022-01-25 04:00:00  ",1,TRUE,NA
"item23","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","SPACE Open-Office Hours - EU-APAC - Non J&J Employees","2022-02-01 03:00:00  ","2022-02-01 04:00:00  ",1,TRUE,NA
"item24","Yufan/Tina 1:1","Yufan/Tina 1:1","2021-10-12 14:00:00  ","2021-10-12 14:30:00  ",1,TRUE,NA
"item25","Yufan/Tina 1:1","Yufan/Tina 1:1","2021-12-14 14:00:00  ","2021-12-14 14:30:00  ",1,TRUE,NA
"item26","CVM/NS monthly meeting ","CVM/NS monthly meeting ","2021-10-27 14:00:00  ","2021-10-27 15:00:00  ",1,TRUE,NA
"item27","CVM/NS monthly meeting ","CVM/NS monthly meeting ","2021-11-24 14:00:00  ","2021-11-24 15:00:00  ",1,TRUE,NA
"item28","CVM/NS monthly meeting ","CVM/NS monthly meeting ","2021-12-22 14:00:00  ","2021-12-22 15:00:00  ",1,TRUE,NA
"item29","CVM/NS monthly meeting ","CVM/NS monthly meeting ","2022-01-26 14:00:00  ","2022-01-26 15:00:00  ",1,TRUE,NA
"item30","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-10-01 16:30:00  ","2021-10-01 16:35:00  ",1,TRUE,NA
"item31","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-10-08 16:30:00  ","2021-10-08 16:35:00  ",1,TRUE,NA
"item32","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-10-15 16:30:00  ","2021-10-15 16:35:00  ",1,TRUE,NA
"item33","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-10-22 16:30:00  ","2021-10-22 16:35:00  ",1,TRUE,NA
"item34","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-10-29 16:30:00  ","2021-10-29 16:35:00  ",1,TRUE,NA
"item35","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-11-05 16:30:00  ","2021-11-05 16:35:00  ",1,TRUE,NA
"item36","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-11-12 16:30:00  ","2021-11-12 16:35:00  ",1,TRUE,NA
"item37","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-11-19 16:30:00  ","2021-11-19 16:35:00  ",1,TRUE,NA
"item38","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-11-26 16:30:00  ","2021-11-26 16:35:00  ",1,TRUE,NA
"item39","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-12-03 16:30:00  ","2021-12-03 16:35:00  ",1,TRUE,NA
"item40","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-12-10 16:30:00  ","2021-12-10 16:35:00  ",1,TRUE,NA
"item41","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-12-17 16:30:00  ","2021-12-17 16:35:00  ",1,TRUE,NA
"item42","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-12-24 16:30:00  ","2021-12-24 16:35:00  ",1,TRUE,NA
"item43","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2021-12-31 16:30:00  ","2021-12-31 16:35:00  ",1,TRUE,NA
"item44","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2022-01-07 16:30:00  ","2022-01-07 16:35:00  ",1,TRUE,NA
"item45","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2022-01-14 16:30:00  ","2022-01-14 16:35:00  ",1,TRUE,NA
"item46","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2022-01-21 16:30:00  ","2022-01-21 16:35:00  ",1,TRUE,NA
"item47","Report working hours this week  in Beacon ","Report working hours this week  in Beacon ","2022-01-28 16:30:00  ","2022-01-28 16:35:00  ",1,TRUE,NA
"item48","Analysis Standards Cafe - ADLB update on metadata and code","Analysis Standards Cafe - ADLB update on metadata and code","2021-12-06 23:00:00  ","2021-12-07 00:00:00  ",1,TRUE,NA
"item49","Analysis Standards Cafe - ADLB update on metadata and code","Analysis Standards Cafe - ADLB update on metadata and code","2021-12-06 23:00:00  ","2021-12-07 00:00:00  ",1,TRUE,NA
"item50","Analysis Standards Cafe - TBD","Analysis Standards Cafe - TBD","2022-01-27 10:00:00  ","2022-01-27 11:00:00  ",1,TRUE,NA
"item51","Weekly discussion","Weekly discussion","2021-10-06 15:00:00  ","2021-10-06 16:00:00  ",1,TRUE,NA
"item52","Weekly discussion","Weekly discussion","2021-10-13 15:00:00  ","2021-10-13 16:00:00  ",1,TRUE,NA
"item53","Weekly discussion","Weekly discussion","2021-10-20 15:00:00  ","2021-10-20 16:00:00  ",1,TRUE,NA
"item54","Weekly discussion","Weekly discussion","2021-10-27 15:00:00  ","2021-10-27 16:00:00  ",1,TRUE,NA
"item55","Canceled: Weekly discussion","Canceled: Weekly discussion","2021-11-03 15:00:00  ","2021-11-03 16:00:00  ",1,TRUE,NA
"item56","Weekly discussion","Weekly discussion","2021-11-10 15:00:00  ","2021-11-10 16:00:00  ",1,TRUE,NA
"item57","Weekly discussion","Weekly discussion","2021-11-17 15:00:00  ","2021-11-17 16:00:00  ",1,TRUE,NA
"item58","Weekly discussion","Weekly discussion","2021-11-24 15:00:00  ","2021-11-24 16:00:00  ",1,TRUE,NA
"item59","Weekly discussion","Weekly discussion","2021-12-01 15:00:00  ","2021-12-01 16:00:00  ",1,TRUE,NA
"item60","Weekly discussion","Weekly discussion","2021-12-08 15:00:00  ","2021-12-08 16:00:00  ",1,TRUE,NA
"item61","Weekly discussion","Weekly discussion","2021-12-15 15:00:00  ","2021-12-15 16:00:00  ",1,TRUE,NA
"item62","Weekly discussion","Weekly discussion","2021-12-22 15:00:00  ","2021-12-22 16:00:00  ",1,TRUE,NA
"item63","Weekly discussion","Weekly discussion","2021-12-29 15:00:00  ","2021-12-29 16:00:00  ",1,TRUE,NA
"item64","Weekly discussion","Weekly discussion","2022-01-05 15:00:00  ","2022-01-05 16:00:00  ",1,TRUE,NA
"item65","Weekly discussion","Weekly discussion","2022-01-12 15:00:00  ","2022-01-12 16:00:00  ",1,TRUE,NA
"item66","Weekly discussion","Weekly discussion","2022-01-19 15:00:00  ","2022-01-19 16:00:00  ",1,TRUE,NA
"item67","Weekly discussion","Weekly discussion","2022-01-26 15:00:00  ","2022-01-26 16:00:00  ",1,TRUE,NA
"item68","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-10-05 03:00:00  ","2021-10-05 04:00:00  ",1,TRUE,NA
"item69","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-10-12 03:00:00  ","2021-10-12 04:00:00  ",1,TRUE,NA
"item70","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-10-19 03:00:00  ","2021-10-19 04:00:00  ",1,TRUE,NA
"item71","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-10-26 03:00:00  ","2021-10-26 04:00:00  ",1,TRUE,NA
"item72","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-11-02 03:00:00  ","2021-11-02 04:00:00  ",1,TRUE,NA
"item73","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-11-09 03:00:00  ","2021-11-09 04:00:00  ",1,TRUE,NA
"item74","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-11-16 03:00:00  ","2021-11-16 04:00:00  ",1,TRUE,NA
"item75","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-11-23 03:00:00  ","2021-11-23 04:00:00  ",1,TRUE,NA
"item76","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-11-30 03:00:00  ","2021-11-30 04:00:00  ",1,TRUE,NA
"item77","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-12-07 03:00:00  ","2021-12-07 04:00:00  ",1,TRUE,NA
"item78","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-12-14 03:00:00  ","2021-12-14 04:00:00  ",1,TRUE,NA
"item79","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-12-21 03:00:00  ","2021-12-21 04:00:00  ",1,TRUE,NA
"item80","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2021-12-28 03:00:00  ","2021-12-28 04:00:00  ",1,TRUE,NA
"item81","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2022-01-04 03:00:00  ","2022-01-04 04:00:00  ",1,TRUE,NA
"item82","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2022-01-11 03:00:00  ","2022-01-11 04:00:00  ",1,TRUE,NA
"item83","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2022-01-18 03:00:00  ","2022-01-18 04:00:00  ",1,TRUE,NA
"item84","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2022-01-25 03:00:00  ","2022-01-25 04:00:00  ",1,TRUE,NA
"item85","SPACE Open-Office Hours - EU-APAC ","SPACE Open-Office Hours - EU-APAC ","2022-02-01 03:00:00  ","2022-02-01 04:00:00  ",1,TRUE,NA
"item86","Canceled: SPACE Walk & Talk - EU session","Canceled: SPACE Walk & Talk - EU session","2021-09-08 15:00:00  ","2021-09-08 16:00:00  ",1,TRUE,NA
